particle_id,contacts
1,402888
2,892
3,632
4,194
5,214
6,758
7,582
8,406
9,536
10,226
11,678
13,308
14,390
15,1262
16,232
17,396
18,372
19,360
20,754
21,184
22,1508
23,858
24,282
25,76
26,12
27,168
28,258
29,384
30,280
31,444
32,250
33,216
34,300
35,194
36,846
37,360
38,478
39,398
40,296
41,598
42,418
43,512
44,498
45,526
46,454
48,290
49,336
50,438
51,1026
52,378
53,302
54,516
55,478
56,128
57,204
58,384
59,482
60,314
61,354
62,450
63,364
64,602
65,204
66,372
67,534
68,382
69,198
70,444
71,562
72,258
73,412
74,22
75,324
76,290
77,936
78,318
79,178
80,328
81,1170
82,170
83,268
84,534
85,724
86,258
87,744
88,236
89,288
90,388
91,248
92,504
93,318
94,222
95,390
96,304
97,614
98,200
99,366
100,552
101,174
102,356
103,210
104,52
105,262
106,322
107,282
108,582
109,252
110,202
111,326
112,318
113,722
114,342
115,296
116,372
117,898
118,410
119,352
120,336
121,336
122,608
123,608
124,300
125,578
126,402
127,294
128,228
129,566
130,420
131,350
132,320
133,366
134,212
135,378
136,420
137,360
138,134
139,586
140,216
141,318
142,400
143,440
144,344
145,540
146,202
147,218
148,492
149,256
150,196
151,286
152,572
153,1232
154,344
155,458
156,254
157,200
158,96
159,674
160,292
161,238
162,510
163,432
164,380
165,284
166,620
167,264
168,464
169,510
170,302
171,736
172,164
173,530
174,324
175,380
176,334
177,464
178,252
179,840
180,326
181,438
182,480
183,396
184,316
185,416
186,424
187,450
188,202
189,306
190,390
191,176
192,312
193,466
194,236
195,578
196,388
197,428
198,138
199,466
200,280
201,350
202,308
203,300
204,360
205,358
206,406
207,496
208,300
209,224
210,448
211,304
212,374
213,402
214,464
215,226
216,318
217,226
218,268
219,402
220,718
221,414
222,170
223,328
224,254
225,588
226,298
227,458
228,268
229,418
230,248
231,364
232,456
233,344
234,322
235,544
236,224
237,222
238,540
239,478
240,596
241,96
242,774
243,216
244,508
245,256
246,600
247,550
248,428
249,438
250,448
251,170
252,346
253,350
254,168
255,244
256,510
257,454
258,414
259,482
260,412
261,532
262,266
263,406
264,336
265,482
266,196
267,430
268,378
269,386
270,442
271,402
272,378
273,332
274,398
275,136
276,486
277,410
278,282
279,426
280,188
281,410
282,452
283,684
284,776
285,318
286,296
287,242
288,378
289,416
290,578
291,414
292,614
293,440
294,536
295,350
296,924
297,458
298,628
299,494
300,624
301,348
302,224
303,196
304,244
305,692
306,320
307,418
308,240
309,394
310,312
311,228
312,242
313,170
314,476
315,426
316,396
317,352
318,272
319,466
320,828
321,266
322,338
323,234
324,164
325,474
326,598
327,310
328,462
329,398
330,170
331,306
332,592
333,676
334,396
335,442
336,946
337,356
338,244
339,362
340,302
341,356
342,332
343,346
344,288
345,528
346,384
347,708
348,368
349,344
350,352
351,286
352,558
353,278
354,246
355,442
356,332
357,196
358,398
359,82
360,174
361,466
362,334
363,776
364,274
365,352
366,332
367,446
368,268
369,416
370,284
371,534
372,296
373,604
374,362
375,448
376,288
377,376
378,572
379,352
380,852
381,132
382,290
383,504
384,336
385,374
386,322
387,1030
388,820
389,214
390,394
391,434
392,450
393,194
394,172
395,776
396,658
397,270
398,234
399,346
400,1100
401,96
402,334
403,320
404,302
405,452
406,318
407,328
408,222
409,370
410,406
411,328
412,672
413,678
414,314
415,304
416,334
417,512
418,52
419,238
420,290
421,290
422,526
423,504
424,136
425,386
426,406
427,308
428,378
429,490
430,528
431,430
432,378
433,984
434,218
435,438
436,388
437,294
438,328
439,558
440,416
441,262
442,810
443,352
444,410
445,884
446,270
447,490
448,326
449,422
450,218
451,322
452,400
453,172
454,258
455,1134
456,96
457,390
458,364
459,334
460,468
461,246
462,388
463,314
464,196
465,520
466,422
467,670
468,444
469,1258
470,410
471,176
472,204
473,240
474,254
475,592
476,270
477,244
478,402
479,298
480,456
481,332
482,346
483,270
484,316
485,306
486,324
487,294
488,488
489,130
490,404
491,518
492,346
493,150
494,566
495,268
496,488
497,270
498,578
499,528
500,222
501,352
502,208
503,502
504,926
505,296
506,310
507,526
508,462
509,344
510,974
511,690
512,458
513,368
514,450
515,202
516,506
517,248
518,314
519,190
520,446
521,250
522,412
523,508
524,408
525,290
526,430
527,374
528,444
529,680
530,152
531,260
532,492
533,510
534,168
535,764
536,188
537,258
538,378
539,638
540,442
541,334
542,356
543,94
544,366
545,678
546,434
547,144
548,484
549,332
550,380
551,452
552,174
553,408
554,368
555,318
556,576
557,722
558,374
559,382
560,174
561,270
562,292
563,196
564,460
565,704
566,570
567,398
568,336
569,450
570,536
571,556
572,340
573,172
574,372
575,368
576,388
577,398
578,172
579,650
580,320
581,532
582,782
583,644
584,472
585,594
586,378
587,300
588,196
589,426
590,610
591,124
592,156
593,232
594,298
595,386
596,376
597,400
598,432
599,286
600,436
601,836
602,368
603,388
604,402
605,270
606,340
607,392
608,228
609,414
610,348
611,316
612,258
613,394
614,426
615,298
616,658
617,372
618,600
619,416
620,316
621,256
622,688
623,366
624,550
625,292
626,512
627,336
628,558
629,326
630,416
631,286
632,268
633,384
634,304
635,492
636,286
637,408
638,572
639,364
640,470
641,410
642,462
643,630
644,428
645,252
646,434
647,160
648,332
649,436
650,170
651,512
652,500
653,576
654,512
655,328
656,262
657,200
658,588
659,468
660,346
661,346
662,184
663,342
664,304
666,510
667,224
668,456
669,302
670,390
671,370
672,282
673,362
674,368
675,164
676,552
677,460
678,126
679,250
681,432
682,498
683,340
684,650
685,500
686,304
687,420
688,318
689,656
690,1200
691,226
692,466
693,286
694,226
695,482
696,518
697,414
698,486
699,434
700,414
701,198
702,1098
703,426
704,190
705,1388
706,316
707,662
708,96
709,412
710,380
711,462
712,4
713,530
714,542
715,364
716,268
717,536
718,376
719,648
720,288
721,404
722,378
723,548
724,310
725,528
726,62
727,502
728,306
729,436
730,464
731,344
732,372
733,578
734,386
735,560
736,382
737,576
738,804
739,382
740,94
741,234
742,322
743,198
744,344
745,786
746,392
747,322
748,356
749,320
750,510
751,310
752,224
753,466
754,252
755,316
756,300
757,640
758,210
759,212
760,216
761,376
762,480
763,382
764,342
765,472
766,344
767,486
768,142
769,510
770,520
771,770
772,266
773,490
774,468
775,326
776,324
777,474
778,678
779,638
780,364
781,542
782,174
783,306
784,332
785,574
786,232
787,226
788,318
789,260
790,354
791,464
792,416
793,404
794,324
795,178
796,290
797,306
798,240
799,392
800,166
801,332
802,664
803,344
804,566
805,496
806,566
807,492
808,358
809,958
810,168
811,644
812,520
813,484
814,410
815,172
816,338
817,142
818,246
819,296
820,266
821,338
822,524
823,134
824,1368
825,672
826,236
827,350
828,408
829,248
830,330
831,360
832,438
833,326
834,588
835,408
836,270
837,310
838,234
839,502
840,332
841,562
842,344
843,1126
844,376
845,256
846,248
847,504
848,626
849,540
850,98
851,370
852,550
853,536
854,304
855,370
856,454
857,560
858,696
859,338
860,456
861,726
862,622
863,264
864,208
865,312
866,150
867,306
868,376
869,306
870,270
871,394
872,816
873,610
874,400
875,298
876,788
877,328
878,308
879,520
880,440
881,384
882,338
883,364
884,366
885,462
886,184
887,566
888,476
889,350
890,342
891,370
892,262
893,182
894,418
895,516
897,214
898,406
899,290
900,600
901,694
902,330
903,374
904,308
905,444
906,354
907,448
908,426
909,272
910,400
911,186
912,428
913,340
914,340
915,410
916,474
917,470
918,522
919,560
920,456
921,318
922,410
923,378
924,124
925,414
926,264
927,400
928,402
929,268
930,384
931,402
932,288
933,174
934,652
935,426
936,352
937,326
938,286
939,416
940,316
941,170
942,372
943,418
944,826
945,692
946,352
947,446
948,372
950,484
951,328
952,458
953,874
954,368
955,310
956,736
957,372
958,554
959,290
960,372
961,314
962,402
963,320
964,140
965,380
966,850
967,386
968,204
969,458
970,126
971,434
972,338
973,362
974,408
975,438
976,392
977,254
978,778
979,356
980,398
981,554
982,456
983,408
984,430
985,544
986,472
987,136
988,558
989,494
990,432
991,170
992,516
993,450
994,348
995,132
996,454
997,454
998,316
999,456
1000,354
1001,454
1002,288
1003,708
1004,256
1005,286
1006,306
1007,616
1008,336
1009,362
1010,304
1011,644
1012,544
1013,548
1014,444
1015,214
1016,114
1017,326
1018,136
1019,274
1020,624
1021,222
1022,264
1023,414
1024,308
1025,452
1026,446
1027,508
1028,650
1029,326
1030,302
1031,604
1032,260
1033,500
1034,276
1035,454
1036,670
1037,274
1038,446
1039,460
1040,840
1041,742
1042,226
1043,428
1044,578
1045,522
1046,362
1047,374
1048,432
1049,514
1050,298
1051,1236
1052,162
1053,440
1054,512
1055,276
1056,134
1057,238
1058,184
1059,384
1060,578
1061,474
1062,580
1063,690
1064,440
1065,454
1066,172
1067,370
1068,282
1069,482
1070,464
1071,368
1072,454
1073,954
1074,172
1075,300
1076,470
1077,316
1078,374
1079,890
1080,1136
1081,292
1082,452
1083,504
1084,366
1085,344
1086,550
1087,456
1088,268
1089,244
1090,506
1091,274
1092,308
1093,418
1094,218
1095,374
1096,406
1097,184
1098,356
1099,348
1100,434
1101,246
1102,532
1103,588
1104,404
1105,230
1106,1108
1107,526
1108,618
1109,350
1110,302
1111,438
1112,216
1113,652
1114,398
1115,1126
1116,430
1117,290
1118,256
1119,430
1120,392
1121,382
1122,478
1123,478
1124,306
1125,398
1126,532
1127,228
1128,344
1129,522
1130,430
1131,284
1132,428
1133,128
1134,528
1135,502
1136,362
1137,264
1138,1138
1139,138
1140,236
1141,342
1142,334
1143,206
1144,306
1145,414
1146,406
1147,1440
1148,1198
1149,510
1150,462
1152,410
1153,374
1154,370
1155,472
1156,1200
1157,52
1158,202
1159,250
1160,474
1161,1640
1162,458
1163,646
1164,380
1165,444
1166,590
1167,316
1168,286
1169,3446
1170,536
1171,450
1172,336
1173,414
1174,282
1175,392
1176,186
1177,310
1178,332
1179,232
1180,258
1181,228
1182,106
